cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
half-rank,2.5000000000000004,0,0,0,60.0,0.8274000312918829,5,1.873022666578794
half-rank,2.5000000000000004,0,0,0,70.0,0.9916066909600596,5,1.7569492571842344
half-rank,2.5000000000000004,0,0,0,75.0,1.092712550411695,5,1.6977089064508728
half-rank,2.5000000000000004,0,0,0,80.0,1.2138391445571703,5,1.6353392138845562
half-rank,2.5000000000000004,0,0,0,82.13,1.2726377077224893,5,1.6083493415896362
half-rank,2.5000000000000004,0,0,0,85.0,1.3650693291453306,5,1.569077975732514
half-rank,2.5000000000000004,0,0,0,90.0,1.5736774488169247,5,1.4943100723873646
half-rank,2.5000000000000004,0,0,0,95.0,1.9171040994309136,5,1.3991496707610604
half-rank,2.5000000000000004,0,0,0,99.0,2.689418700325832,5,1.2653675132679687
half-rank,2.5000000000000004,0,0,0,99.73,3.2106654296541617,5,1.2093876752119734
half-rank,5.005,0,0,0,5.0,0.1782646372531011,10,3.284897927666352
half-rank,5.005,0,0,0,10.0,0.2597731337089748,10,2.918158399222675
half-rank,5.005,0,0,0,15.0,0.3267363622115888,10,2.705146858258876
half-rank,5.005,0,0,0,20.0,0.3877353595785731,10,2.5466544015572583
half-rank,5.005,0,0,0,25.0,0.4456076279514013,10,2.421842590439862
half-rank,5.005,0,0,0,30.0,0.5026062024723664,10,2.316481868003457
half-rank,5.005,0,0,0,35.0,0.559246683032996,10,2.2241553185952925
half-rank,5.005,0,0,0,40.0,0.6159646903338032,10,2.1423039943221664
half-rank,5.005,0,0,0,45.0,0.6748990594715707,10,2.067531327440612
half-rank,5.005,0,0,0,50.0,0.7366113200858206,10,1.997656959605324
half-rank,5.005,0,0,0,60.0,0.8707448873507712,10,1.8700231518533803
half-rank,5.005,0,0,0,70.0,1.0297806995512346,10,1.7497206380348054
half-rank,5.005,0,0,0,75.0,1.1257852335128746,10,1.6892376691727862
half-rank,5.005,0,0,0,80.0,1.2373752879371336,10,1.628015592762417
half-rank,5.005,0,0,0,82.13,1.2915580887731422,10,1.6012528776417068
half-rank,5.005,0,0,0,85.0,1.376040252416728,10,1.5628309641190388
half-rank,5.005,0,0,0,90.0,1.5642234957086385,10,1.4890629672141262
half-rank,5.005,0,0,0,95.0,1.8701167015678168,10,1.3966099454082752
half-rank,5.005,0,0,0,99.0,2.525402890763797,10,1.2691786947722032
half-rank,5.005,0,0,0,99.73,2.9525278141682567,10,1.2158151998559887
half-rank,10.005000000000004,0,0,0,5.0,0.2027645308697116,20,3.496308205223883
half-rank,10.005000000000004,0,0,0,10.0,0.2919528600786055,20,3.0427401696755934
half-rank,10.005000000000004,0,0,0,15.0,0.3645195971865064,20,2.780177113534492
half-rank,10.005000000000004,0,0,0,20.0,0.4290547230062391,20,2.595756274577961
half-rank,10.005000000000004,0,0,0,25.0,0.48918165243926,20,2.451983939490056
half-rank,10.005000000000004,0,0,0,30.0,0.5475625471283558,20,2.3328269633931287
half-rank,10.005000000000004,0,0,0,35.0,0.6050195871413631,20,2.230755362830706
half-rank,10.005000000000004,0,0,0,40.0,0.6628005885420825,20,2.1405320902929943
half-rank,10.005000000000004,0,0,0,45.0,0.720872595917412,20,2.0605709802565464
half-rank,10.005000000000004,0,0,0,50.0,0.7805848945835523,20,1.9873977078355407
half-rank,10.005000000000004,0,0,0,60.0,0.9095544840680893,20,1.854092839056352
half-rank,10.005000000000004,0,0,0,70.0,1.0595080668807195,20,1.731642917259166
half-rank,10.005000000000004,0,0,0,75.0,1.1480282401916948,20,1.6712467100559554
half-rank,10.005000000000004,0,0,0,80.0,1.2502471364329166,20,1.610851546861547
half-rank,10.005000000000004,0,0,0,82.13,1.299009032406463,20,1.5846103305146235
half-rank,10.005000000000004,0,0,0,85.0,1.375060857751678,20,1.5472312939916166
half-rank,10.005000000000004,0,0,0,90.0,1.5410868494822794,20,1.4775252417041278
half-rank,10.005000000000004,0,0,0,95.0,1.80606310343037,20,1.390165694395621
half-rank,10.005000000000004,0,0,0,99.0,2.3536753692530032,20,1.271208593787134
half-rank,10.005000000000004,0,0,0,99.73,2.705953650519068,20,1.2220832715755297
half-rank,25.005,0,0,0,5.0,0.2173462219419859,50,3.699471685217552
