cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
low-rank,1.0004,0,1,-1,20.0,0.1930170821321337,5,1.4261922569960253
low-rank,1.0004,0,1,-1,25.0,0.242882348461837,5,1.457971237934171
low-rank,1.0004,0,1,-1,30.0,0.2940178079981391,5,1.4881581629486027
low-rank,1.0004,0,1,-1,35.0,0.3473902529397573,5,1.514303452701078
low-rank,1.0004,0,1,-1,40.0,0.4028354005306354,5,1.5398805684006711
low-rank,1.0004,0,1,-1,45.0,0.4611858202690652,5,1.562185026035336
low-rank,1.0004,0,1,-1,50.0,0.5238347263692,5,1.5733904137068777
low-rank,1.0004,0,1,-1,60.0,0.6654696302687438,5,1.5807623779227276
low-rank,1.0004,0,1,-1,70.0,0.8414829671341206,5,1.565449463128806
low-rank,1.0004,0,1,-1,75.0,0.9509073757075563,5,1.546224599741349
low-rank,1.0004,0,1,-1,80.0,1.0828193396079622,5,1.5159928150537003
low-rank,1.0004,0,1,-1,82.13,1.1499138046724695,5,1.4968133473472325
low-rank,1.0004,0,1,-1,85.0,1.2548689295536382,5,1.4641593575227938
low-rank,1.0004,0,1,-1,90.0,1.5057059264849788,5,1.3871072681059329
low-rank,1.0004,0,1,-1,95.0,1.961143643040869,5,1.2747655710054655
low-rank,1.0004,0,1,-1,99.0,3.2130374318322907,5,1.1200904383482455
low-rank,1.0004,0,1,-1,99.73,4.540226955983687,5,1.0593556802868902
low-rank,1.0009,0,1,-1,5.0,0.0542551635456531,10,1.2112956093180176
low-rank,1.0009,0,1,-1,10.0,0.0984664504580075,10,1.2377147281574494
low-rank,1.0009,0,1,-1,15.0,0.145586231181643,10,1.2663320964613385
low-rank,1.0009,0,1,-1,20.0,0.1938821573452578,10,1.296105869627747
low-rank,1.0009,0,1,-1,25.0,0.243474345939096,10,1.3244716798423195
low-rank,1.0009,0,1,-1,30.0,0.2945664500052992,10,1.352649819740633
low-rank,1.0009,0,1,-1,35.0,0.3474982752007558,10,1.3766161178197776
low-rank,1.0009,0,1,-1,40.0,0.4031658514328782,10,1.3965673089642354
low-rank,1.0009,0,1,-1,45.0,0.4614645375711269,10,1.4132193529918644
low-rank,1.0009,0,1,-1,50.0,0.5237215268208477,10,1.4268540212650314
low-rank,1.0009,0,1,-1,60.0,0.6645515781231981,10,1.4530525488671102
low-rank,1.0009,0,1,-1,70.0,0.8401437614862036,10,1.4654078354995863
low-rank,1.0009,0,1,-1,75.0,0.9488902597585104,10,1.454186219526463
low-rank,1.0009,0,1,-1,80.0,1.0825213414140138,10,1.4320933280036685
low-rank,1.0009,0,1,-1,82.13,1.150618532814203,10,1.418008774754001
low-rank,1.0009,0,1,-1,85.0,1.2560052080023842,10,1.3951797421054908
low-rank,1.0009,0,1,-1,90.0,1.5062266359025778,10,1.3325375103303327
low-rank,1.0009,0,1,-1,95.0,1.9592124549452163,10,1.2394835075759445
low-rank,1.0009,0,1,-1,99.0,3.2095509148563424,10,1.1092077927598267
low-rank,1.0009,0,1,-1,99.73,4.526885019556465,10,1.0570642621836468
low-rank,2.0018,0,1,-1,5.0,0.1625750420798558,20,1.4088402068588588
low-rank,2.0018,0,1,-1,10.0,0.2337481707880111,20,1.4235707791922236
low-rank,2.0018,0,1,-1,15.0,0.2918670359843878,20,1.4366775973971475
low-rank,2.0018,0,1,-1,20.0,0.3444246026533375,20,1.448486847774228
low-rank,2.0018,0,1,-1,25.0,0.3938948699247411,20,1.4565981244039634
low-rank,2.0018,0,1,-1,30.0,0.4423908345424502,20,1.4641175471747676
low-rank,2.0018,0,1,-1,35.0,0.4905335631752163,20,1.4691151279367247
low-rank,2.0018,0,1,-1,40.0,0.5395020240474357,20,1.4731493419693682
low-rank,2.0018,0,1,-1,45.0,0.5901429570512551,20,1.4751710566990557
low-rank,2.0018,0,1,-1,50.0,0.6435350771114037,20,1.4743903278120216
low-rank,2.0018,0,1,-1,60.0,0.7619447205981674,20,1.4661729924501763
low-rank,2.0018,0,1,-1,70.0,0.908634494131415,20,1.4381577586102083
low-rank,2.0018,0,1,-1,75.0,0.9993530646134974,20,1.4152965981182497
low-rank,2.0018,0,1,-1,80.0,1.1111289741018728,20,1.38648013220443
low-rank,2.0018,0,1,-1,82.13,1.1673713458530717,20,1.37099890801198
low-rank,2.0018,0,1,-1,85.0,1.2564357780800277,20,1.3474593369898855
low-rank,2.0018,0,1,-1,90.0,1.4684573592372827,20,1.2945983552000215
low-rank,2.0018,0,1,-1,95.0,1.8591273162694877,20,1.2151853925598763
low-rank,2.0018,0,1,-1,99.0,2.974999021242009,20,1.0989309305725552
low-rank,2.0018,0,1,-1,99.73,4.181170636614628,20,1.0504036629698537
low-rank,5.004500000000001,0,1,-1,5.0,0.311668945120282,50,1.5722357921523595
low-rank,5.004500000000001,0,1,-1,10.0,0.3773865781003257,50,1.5712303687282567
low-rank,5.004500000000001,0,1,-1,15.0,0.4286876317596976,50,1.5669967358470376
low-rank,5.004500000000001,0,1,-1,20.0,0.4732691020816474,50,1.5605845405982075
low-rank,5.004500000000001,0,1,-1,25.0,0.5145358861438638,50,1.5526099381996126
low-rank,5.004500000000001,0,1,-1,30.0,0.5544169121842462,50,1.543178900156019
low-rank,5.004500000000001,0,1,-1,35.0,0.5940720933172743,50,1.5326274201471803
low-rank,5.004500000000001,0,1,-1,40.0,0.6345242336687205,50,1.5209244083454434
low-rank,5.004500000000001,0,1,-1,45.0,0.6761940855619619,50,1.5079082159985666
low-rank,5.004500000000001,0,1,-1,50.0,0.7202104681191748,50,1.492073241292959
low-rank,5.004500000000001,0,1,-1,60.0,0.8186470892957011,50,1.4544522095986594
low-rank,5.004500000000001,0,1,-1,70.0,0.941488960300206,50,1.4053143408376376
low-rank,5.004500000000001,0,1,-1,75.0,1.0185344206876392,50,1.373784964243801
low-rank,5.004500000000001,0,1,-1,80.0,1.1134697060226804,50,1.3370206449837465
low-rank,5.004500000000001,0,1,-1,82.13,1.1618407624258018,50,1.3190481086175097
low-rank,5.004500000000001,0,1,-1,85.0,1.2380607275042783,50,1.2933642234324638
low-rank,5.004500000000001,0,1,-1,90.0,1.4215609722102631,50,1.239005213702406
low-rank,5.004500000000001,0,1,-1,95.0,1.7630943751541537,50,1.169776692164305
low-rank,5.004500000000001,0,1,-1,99.0,2.747294207325804,50,1.0742940458628951
low-rank,5.004500000000001,0,1,-1,99.73,3.791259716688168,50,1.038525840823541
low-rank,10.009000000000002,0,1,-1,5.0,0.3798181521073108,100,1.6360260312550214
low-rank,10.009000000000002,0,1,-1,10.0,0.4384781746619492,100,1.627317928603956
low-rank,10.009000000000002,0,1,-1,15.0,0.4836005382791429,100,1.6154329831490757
low-rank,10.009000000000002,0,1,-1,20.0,0.5230934866143034,100,1.6025596025355693
low-rank,10.009000000000002,0,1,-1,25.0,0.5604107320215198,100,1.5878575344654282
low-rank,10.009000000000002,0,1,-1,30.0,0.5963726504140713,100,1.5726160991000269
low-rank,10.009000000000002,0,1,-1,35.0,0.6319843907651956,100,1.556599633667934
low-rank,10.009000000000002,0,1,-1,40.0,0.6686876071115994,100,1.5387761710135168
low-rank,10.009000000000002,0,1,-1,45.0,0.7064435169178322,100,1.5197359389203506
low-rank,10.009000000000002,0,1,-1,50.0,0.7462268306350788,100,1.4992741910708012
low-rank,10.009000000000002,0,1,-1,60.0,0.8358514762611909,100,1.4535103671000884
low-rank,10.009000000000002,0,1,-1,70.0,0.9487925433969234,100,1.399638641218134
low-rank,10.009000000000002,0,1,-1,75.0,1.0201570007660854,100,1.3682935759766617
low-rank,10.009000000000002,0,1,-1,80.0,1.1085639866000505,100,1.3316430987432644
low-rank,10.009000000000002,0,1,-1,82.13,1.15431162163711,100,1.3136336807287718
low-rank,10.009000000000002,0,1,-1,85.0,1.226466551597765,100,1.2872199788472212
low-rank,10.009000000000002,0,1,-1,90.0,1.4002874238047254,100,1.23296450616743
low-rank,10.009000000000002,0,1,-1,95.0,1.727522416130316,100,1.1621387819427582
low-rank,10.009000000000002,0,1,-1,99.0,2.6776819324443752,100,1.0720536676380257
low-rank,10.009000000000002,0,1,-1,99.73,3.684477608434201,100,1.0386944958432285
low-rank,50.045,0,1,-1,5.0,0.4439905578638477,500,1.7144915329662287
low-rank,50.045,0,1,-1,10.0,0.4942300975593839,500,1.6988848374337904
low-rank,50.045,0,1,-1,15.0,0.5329758196470072,500,1.681670076222633
low-rank,50.045,0,1,-1,20.0,0.5670738527471574,500,1.662223717891996
low-rank,50.045,0,1,-1,25.0,0.5994746758017256,500,1.6429283513881143
low-rank,50.045,0,1,-1,30.0,0.6314760924505436,500,1.6223006648426317
low-rank,50.045,0,1,-1,35.0,0.6644858200731009,500,1.5995766393994897
low-rank,50.045,0,1,-1,40.0,0.6966688620076736,500,1.5770552572704957
low-rank,50.045,0,1,-1,45.0,0.7307932216174162,500,1.5528741553392724
low-rank,50.045,0,1,-1,50.0,0.7673433230479278,500,1.5270341522177513
low-rank,50.045,0,1,-1,60.0,0.8509510071996784,500,1.469040077177307
low-rank,50.045,0,1,-1,70.0,0.9558493628000044,500,1.4008455389161996
low-rank,50.045,0,1,-1,75.0,1.0233474274001395,500,1.3627058951028574
low-rank,50.045,0,1,-1,80.0,1.1071818058349272,500,1.3216177256590338
low-rank,50.045,0,1,-1,82.13,1.1498821977597635,500,1.3025303410792817
low-rank,50.045,0,1,-1,85.0,1.2168613314611143,500,1.2758856722652296
low-rank,50.045,0,1,-1,90.0,1.3774806925823035,500,1.2257044044691117
low-rank,50.045,0,1,-1,95.0,1.6824359422701172,500,1.1588123077545969
low-rank,50.045,0,1,-1,99.0,2.576635166493888,500,1.0729976169996591
low-rank,50.045,0,1,-1,99.73,3.6317356879597775,500,1.0354358109829844
full-rank,2.0,0,0,0,5.0,0.1599704741544002,2,1.4035144651860496
full-rank,2.0,0,0,0,10.0,0.2315298020161068,2,1.4148099196866608
full-rank,2.0,0,0,0,15.0,0.2899395937154316,2,1.4305354492513285
full-rank,2.0,0,0,0,20.0,0.3425100224773728,2,1.4468582918392956
full-rank,2.0,0,0,0,25.0,0.3919090164817693,2,1.4613973135951548
full-rank,2.0,0,0,0,30.0,0.4403373026734266,2,1.471658638664617
full-rank,2.0,0,0,0,35.0,0.4888863446659139,2,1.478973962647828
full-rank,2.0,0,0,0,40.0,0.5383591037498763,2,1.4835331677773556
full-rank,2.0,0,0,0,45.0,0.5890782279045822,2,1.485725168620091
full-rank,2.0,0,0,0,50.0,0.642249620175046,2,1.48470243348255
full-rank,2.0,0,0,0,60.0,0.7601991523362367,2,1.4746206655398764
full-rank,2.0,0,0,0,70.0,0.906639513027579,2,1.446961665440275
full-rank,2.0,0,0,0,75.0,0.997967959552708,2,1.4227760335139623
full-rank,2.0,0,0,0,80.0,1.1106072326636578,2,1.3917653200696167
full-rank,2.0,0,0,0,82.13,1.1662576249518617,2,1.3772930492770088
full-rank,2.0,0,0,0,85.0,1.256016089919724,2,1.3521810835151091
full-rank,2.0,0,0,0,90.0,1.4677689036016075,2,1.2984908999157878
full-rank,2.0,0,0,0,95.0,1.857616228267182,2,1.2245954132998151
full-rank,2.0,0,0,0,99.0,2.977532659992681,2,1.1085416051445731
full-rank,2.0,0,0,0,99.73,4.0387939409929015,2,1.0564097345166856
full-rank,5.0,0,0,0,5.0,0.3096606950124711,5,1.581298452427745
full-rank,5.0,0,0,0,10.0,0.3762398105707885,5,1.5864030991867262
full-rank,5.0,0,0,0,15.0,0.4271298233981465,5,1.5876598190524112
full-rank,5.0,0,0,0,20.0,0.4717998344012444,5,1.5856572195895116
full-rank,5.0,0,0,0,25.0,0.5133492184118261,5,1.5807465102185108
full-rank,5.0,0,0,0,30.0,0.5535602609517587,5,1.5733420339634288
full-rank,5.0,0,0,0,35.0,0.5935247262730755,5,1.5632314231800155
full-rank,5.0,0,0,0,40.0,0.6339189369509001,5,1.5516050624177122
full-rank,5.0,0,0,0,45.0,0.6753611371348458,5,1.5378630252705836
full-rank,5.0,0,0,0,50.0,0.7191799527266676,5,1.5213224956408238
full-rank,5.0,0,0,0,60.0,0.8177899057951807,5,1.4788734461034136
full-rank,5.0,0,0,0,70.0,0.9408143859007568,5,1.4240939437805198
full-rank,5.0,0,0,0,75.0,1.0175292443270485,5,1.3915687837285833
full-rank,5.0,0,0,0,80.0,1.1125803269011347,5,1.354181537980606
full-rank,5.0,0,0,0,82.13,1.1604298472278298,5,1.336409351779059
full-rank,5.0,0,0,0,85.0,1.2374951719036549,5,1.3100421741395754
full-rank,5.0,0,0,0,90.0,1.4213310860374484,5,1.2569133550208658
full-rank,5.0,0,0,0,95.0,1.760856804870489,5,1.185324320367338
full-rank,5.0,0,0,0,99.0,2.7556027711289914,5,1.0853852442804983
full-rank,5.0,0,0,0,99.73,3.721492517991451,5,1.0468154162633516
full-rank,10.000000000000002,0,0,0,5.0,0.3790370563304331,10,1.6588720585690817
full-rank,10.000000000000002,0,0,0,10.0,0.4379969419489423,10,1.649379854220303
full-rank,10.000000000000002,0,0,0,15.0,0.4835675522171979,10,1.638284373717655
full-rank,10.000000000000002,0,0,0,20.0,0.5229333896051706,10,1.62603317396454
full-rank,10.000000000000002,0,0,0,25.0,0.5598096600632426,10,1.6115420906046467
full-rank,10.000000000000002,0,0,0,30.0,0.5955414606380566,10,1.5957451625073675
full-rank,10.000000000000002,0,0,0,35.0,0.6311171308104344,10,1.578668154024379
full-rank,10.000000000000002,0,0,0,40.0,0.6675375851518988,10,1.559761825148671
full-rank,10.000000000000002,0,0,0,45.0,0.7049870745156959,10,1.5399349449304325
full-rank,10.000000000000002,0,0,0,50.0,0.7450464625053836,10,1.518179376060839
full-rank,10.000000000000002,0,0,0,60.0,0.8351529131458681,10,1.4670490044656954
full-rank,10.000000000000002,0,0,0,70.0,0.9477839711391756,10,1.405846302794121
full-rank,10.000000000000002,0,0,0,75.0,1.0191867036132145,10,1.370392103972479
full-rank,10.000000000000002,0,0,0,80.0,1.1074481036170296,10,1.330200220276164
full-rank,10.000000000000002,0,0,0,82.13,1.1515263115038177,10,1.3119043791732456
full-rank,10.000000000000002,0,0,0,85.0,1.223512711069609,10,1.284012518138165
full-rank,10.000000000000002,0,0,0,90.0,1.395976144404956,10,1.2288776123890526
full-rank,10.000000000000002,0,0,0,95.0,1.719246501170144,10,1.1581401236279094
full-rank,10.000000000000002,0,0,0,99.0,2.6621299005458936,10,1.0683680822246298
full-rank,10.000000000000002,0,0,0,99.73,3.565671310864139,10,1.0336347097038872
