cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
low-rank,50.045,0,1,-1,45.0,0.7307932216174162,500,1.7528534135182854
low-rank,50.045,0,1,-1,50.0,0.7673433230479278,500,1.738623532928139
low-rank,50.045,0,1,-1,60.0,0.8509510071996784,500,1.706195154881998
low-rank,50.045,0,1,-1,70.0,0.9558493628000044,500,1.666026603398086
low-rank,50.045,0,1,-1,75.0,1.0233474274001395,500,1.6414002671846213
low-rank,50.045,0,1,-1,80.0,1.1071818058349272,500,1.6121980644682756
low-rank,50.045,0,1,-1,82.13,1.1498821977597635,500,1.597613227845725
low-rank,50.045,0,1,-1,85.0,1.2168613314611143,500,1.5758515777783555
low-rank,50.045,0,1,-1,90.0,1.3774806925823035,500,1.5278479698036032
low-rank,50.045,0,1,-1,95.0,1.6824359422701172,500,1.4505675818015873
low-rank,50.045,0,1,-1,99.0,2.576635166493888,500,1.3027020466961825
low-rank,50.045,0,1,-1,99.73,3.6317356879597775,500,1.2119278082392495
full-rank,2.0,0,0,0,5.0,0.1599704741544002,2,0.8984411199544081
full-rank,2.0,0,0,0,10.0,0.2315298020161068,2,1.0424078697984138
full-rank,2.0,0,0,0,15.0,0.2899395937154316,2,1.1368802013591672
full-rank,2.0,0,0,0,20.0,0.3425100224773728,2,1.2057775851407506
full-rank,2.0,0,0,0,25.0,0.3919090164817693,2,1.2606015937398471
full-rank,2.0,0,0,0,30.0,0.4403373026734266,2,1.305535523549493
full-rank,2.0,0,0,0,35.0,0.4888863446659139,2,1.3438867439499602
full-rank,2.0,0,0,0,40.0,0.5383591037498763,2,1.3771767654630138
full-rank,2.0,0,0,0,45.0,0.5890782279045822,2,1.405014395304217
full-rank,2.0,0,0,0,50.0,0.642249620175046,2,1.4291197773776612
full-rank,2.0,0,0,0,60.0,0.7601991523362367,2,1.4649525884901402
full-rank,2.0,0,0,0,70.0,0.906639513027579,2,1.4878912630713357
full-rank,2.0,0,0,0,75.0,0.997967959552708,2,1.4940649686200158
full-rank,2.0,0,0,0,80.0,1.1106072326636578,2,1.4955013302733744
full-rank,2.0,0,0,0,82.13,1.1662576249518617,2,1.494689506520508
full-rank,2.0,0,0,0,85.0,1.256016089919724,2,1.4908536219674242
full-rank,2.0,0,0,0,90.0,1.4677689036016075,2,1.4751844856363598
full-rank,2.0,0,0,0,95.0,1.857616228267182,2,1.434320681276657
