cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,50.0,0,1,-1,35.0,0.6458487916839595,50,1.7076630611554262
full-rank,50.0,0,1,-1,40.0,0.703604147714894,50,1.6172152061629932
full-rank,50.0,0,1,-1,45.0,0.7625380442111106,50,1.538457082721505
full-rank,50.0,0,1,-1,50.0,0.822083933871775,50,1.4695167699989269
full-rank,50.0,0,1,-1,60.0,0.9473089309115992,50,1.3529328089148815
full-rank,50.0,0,1,-1,70.0,1.0893896670665384,50,1.254892267244381
full-rank,50.0,0,1,-1,75.0,1.1705953788514438,50,1.2101897885480042
full-rank,50.0,0,1,-1,80.0,1.263831569051436,50,1.1677195633449664
full-rank,50.0,0,1,-1,82.13,1.3085318425526282,50,1.1503568529792711
full-rank,50.0,0,1,-1,85.0,1.375513525206573,50,1.127074846045672
full-rank,50.0,0,1,-1,90.0,1.5213615697331215,50,1.0874561885548348
full-rank,50.0,0,1,-1,95.0,1.7454916991033549,50,1.0483804574481252
full-rank,50.0,0,1,-1,99.0,2.18602160379482,50,1.015735640737602
full-rank,50.0,0,1,-1,99.73,2.4796793740149665,50,1.009309189341538
full-rank,100.00000000000004,0,1,-1,5.0,0.2259934208098305,100,2.9001571235017694
full-rank,100.00000000000004,0,1,-1,10.0,0.3231214225112502,100,2.5350205166866746
full-rank,100.00000000000004,0,1,-1,15.0,0.4007117897862342,100,2.267755802357761
full-rank,100.00000000000004,0,1,-1,20.0,0.4694963570106946,100,2.065237169392798
full-rank,100.00000000000004,0,1,-1,25.0,0.5328523865054879,100,1.9058761554679664
full-rank,100.00000000000004,0,1,-1,30.0,0.59309512653214,100,1.7758521854182634
full-rank,100.00000000000004,0,1,-1,35.0,0.6515637981121883,100,1.669812525075655
full-rank,100.00000000000004,0,1,-1,40.0,0.7096604728064555,100,1.580202908514434
full-rank,100.00000000000004,0,1,-1,45.0,0.7680344391975265,100,1.5032189660582338
full-rank,100.00000000000004,0,1,-1,50.0,0.8272203694932562,100,1.4357435120367552
full-rank,100.00000000000004,0,1,-1,60.0,0.95188749330804,100,1.3211861601472048
full-rank,100.00000000000004,0,1,-1,70.0,1.0926402625072682,100,1.225241297662117
full-rank,100.00000000000004,0,1,-1,75.0,1.1736134381414571,100,1.1819205554665686
full-rank,100.00000000000004,0,1,-1,80.0,1.2657989133385363,100,1.1406489855655646
full-rank,100.00000000000004,0,1,-1,82.13,1.309782165355003,100,1.1237418614249108
full-rank,100.00000000000004,0,1,-1,85.0,1.376730111536566,100,1.1015448563903183
full-rank,100.00000000000004,0,1,-1,90.0,1.5177245908596406,100,1.063525528776675
full-rank,100.00000000000004,0,1,-1,95.0,1.7352094636160849,100,1.025691174655333
full-rank,100.00000000000004,0,1,-1,99.0,2.1592169262772303,100,0.9947260705902335
full-rank,100.00000000000004,0,1,-1,99.73,2.440638272520426,100,0.9884494825048136
half-rank,1.005,0,1,-1,5.0,0.0525830546185897,2,0.4651074917545602
half-rank,1.005,0,1,-1,10.0,0.0901902876961498,2,0.6491250578433163
half-rank,1.005,0,1,-1,15.0,0.1283805996758823,2,0.8267754479757058
half-rank,1.005,0,1,-1,20.0,0.1690421654931414,2,0.9690415861322026
half-rank,1.005,0,1,-1,25.0,0.2124333201986755,2,1.0987766724606511
half-rank,1.005,0,1,-1,30.0,0.2600430181540599,2,1.20742524500871
half-rank,1.005,0,1,-1,35.0,0.3108098628187666,2,1.2953284588715457
half-rank,1.005,0,1,-1,40.0,0.3663217757863802,2,1.352867629149439
half-rank,1.005,0,1,-1,45.0,0.4272073030060181,2,1.4026831363862489
half-rank,1.005,0,1,-1,50.0,0.494002219710008,2,1.4360188559939693
half-rank,1.005,0,1,-1,60.0,0.6507566017086902,2,1.464305692943176
half-rank,1.005,0,1,-1,70.0,0.8529909494533827,2,1.4348548317775829
half-rank,1.005,0,1,-1,75.0,0.9807164719256676,2,1.4010040136879862
half-rank,1.005,0,1,-1,80.0,1.1380809009982982,2,1.3602874311619613
half-rank,1.005,0,1,-1,82.13,1.2177931580220618,2,1.3422061957507547
half-rank,1.005,0,1,-1,85.0,1.3405133663926303,2,1.3087054209364026
half-rank,1.005,0,1,-1,90.0,1.6261152676356825,2,1.2411526691479418
half-rank,1.005,0,1,-1,95.0,2.1128975018888894,2,1.1527111448462437
half-rank,1.005,0,1,-1,99.0,3.216738610534565,2,1.0537416097185728
half-rank,1.005,0,1,-1,99.73,4.0717609982800544,2,1.02792682995894
half-rank,2.5000000000000004,0,1,-1,5.0,0.1614356517257441,5,1.917511201102068
half-rank,2.5000000000000004,0,1,-1,10.0,0.2354107891652807,5,1.9251436137458688
half-rank,2.5000000000000004,0,1,-1,15.0,0.2974836190766577,5,1.8827294253513944
half-rank,2.5000000000000004,0,1,-1,20.0,0.3543467758405482,5,1.8333129278233165
half-rank,2.5000000000000004,0,1,-1,25.0,0.4089492377378104,5,1.781877194935916
half-rank,2.5000000000000004,0,1,-1,30.0,0.4631156862411431,5,1.729413269746987
half-rank,2.5000000000000004,0,1,-1,35.0,0.5176211446809824,5,1.673459711696878
half-rank,2.5000000000000004,0,1,-1,40.0,0.5734198565742605,5,1.6174446766372923
half-rank,2.5000000000000004,0,1,-1,45.0,0.631290348961722,5,1.562278523053382
