eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
2.5,0,1,-1,70.0,1.0883553881286787,5,0.9656713927863031
2.5,0,1,-1,75.0,1.152886780910611,5,0.9725848784399858
2.5,0,1,-1,80.0,1.2279539150491263,5,0.9791400543465192
2.5,0,1,-1,82.13,1.2639710155532045,5,0.9818696392135543
2.5,0,1,-1,85.0,1.3184718018519845,5,0.9850535557877741
2.5,0,1,-1,90.0,1.434906368773036,5,0.9903450720098037
2.5,0,1,-1,95.0,1.6161195409062075,5,0.9961298933452578
2.5,0,1,-1,99.0,1.9688860525411347,5,0.9998967665688469
2.5,0,1,-1,99.73,2.2004193983130635,5,0.99972891533879
5.0,0,1,-1,15.0,0.6316596579235283,50,0.9032866690742715
5.0,0,1,-1,20.0,0.6847488324805759,5,0.909326832850842
5.0,0,1,-1,20.0,0.6847911290947319,10,0.9120644167696884
5.0,0,1,-1,20.0,0.6850319780701073,50,0.9229557325858213
5.0,0,1,-1,25.0,0.7313275616013325,5,0.9228930119367347
5.0,0,1,-1,25.0,0.7315458701307056,10,0.9257711360307912
5.0,0,1,-1,25.0,0.7319536426235798,50,0.935705893623059
5.0,0,1,-1,30.0,0.7744811084336483,5,0.9326248773632013
5.0,0,1,-1,30.0,0.7745477757526463,10,0.9356081481710768
5.0,0,1,-1,30.0,0.774969562448978,50,0.9449102391120257
5.0,0,1,-1,35.0,0.8154044695122714,5,0.9411119263266932
5.0,0,1,-1,35.0,0.8153204611207583,10,0.9432631098715051
5.0,0,1,-1,35.0,0.8157388592021443,50,0.9523512713594577
5.0,0,1,-1,40.0,0.8550924076047466,5,0.9482970258944107
5.0,0,1,-1,40.0,0.8547543390341378,10,0.949425332874771
5.0,0,1,-1,40.0,0.8552465635153608,50,0.9586008497867751
5.0,0,1,-1,45.0,0.8943050295322312,5,0.9547186252987391
5.0,0,1,-1,45.0,0.8938756175903757,10,0.9550507629791122
5.0,0,1,-1,45.0,0.8940463215116272,50,0.9638825911605802
5.0,0,1,-1,50.0,0.9331885336984336,5,0.9604361327468668
5.0,0,1,-1,50.0,0.9325577650306395,10,0.9601354035848342
5.0,0,1,-1,50.0,0.9328366077688811,50,0.9688348918080656
5.0,0,1,-1,60.0,1.013051063820503,5,0.9713905465467269
5.0,0,1,-1,60.0,1.0125606275774137,10,0.9692997766286677
5.0,0,1,-1,60.0,1.0128068644796646,50,0.9771793146011726
5.0,0,1,-1,70.0,1.101129501497752,5,0.9803831272669215
5.0,0,1,-1,70.0,1.100537896771994,10,0.9781970117528503
5.0,0,1,-1,70.0,1.1003985832359722,50,0.9844629040152488
5.0,0,1,-1,75.0,1.1511059458063764,5,0.9843909492899104
5.0,0,1,-1,75.0,1.1503030202429603,10,0.9827813375096295
5.0,0,1,-1,75.0,1.1502440852964426,50,0.9880607372355079
5.0,0,1,-1,80.0,1.206921399374952,5,0.9885760353648492
5.0,0,1,-1,80.0,1.2066919543639583,10,0.9867559993719113
5.0,0,1,-1,80.0,1.2060896394452156,50,0.9910133112316762
5.0,0,1,-1,82.13,1.2335012122956428,5,0.9901384270694582
5.0,0,1,-1,82.13,1.2332926518627125,10,0.9883492670335585
