cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,5.0,0,1,-1,95.0,1.7652202032298885,5,1.195335733740971
full-rank,5.0,0,1,-1,99.0,2.752380513119429,5,1.1050753713333965
full-rank,5.0,0,1,-1,99.73,3.791960027375261,5,1.0653248687221128
full-rank,10.000000000000002,0,1,-1,5.0,0.3801242686225601,10,1.6548319562051446
full-rank,10.000000000000002,0,1,-1,10.0,0.4389519156658168,10,1.676884458739883
full-rank,10.000000000000002,0,1,-1,15.0,0.4840560025602581,10,1.6754403157524416
full-rank,10.000000000000002,0,1,-1,20.0,0.5234464495538671,10,1.6657062096731143
full-rank,10.000000000000002,0,1,-1,25.0,0.5602128063455841,10,1.6506464485681858
full-rank,10.000000000000002,0,1,-1,30.0,0.5959433611095203,10,1.6332064846362015
full-rank,10.000000000000002,0,1,-1,35.0,0.6316697829870371,10,1.6138177915924528
full-rank,10.000000000000002,0,1,-1,40.0,0.6682085002459363,10,1.5931651203516448
full-rank,10.000000000000002,0,1,-1,45.0,0.7061931357909654,10,1.5708352165311468
full-rank,10.000000000000002,0,1,-1,50.0,0.7462415426243463,10,1.547235724975618
full-rank,10.000000000000002,0,1,-1,60.0,0.835487570760667,10,1.4936992742331832
full-rank,10.000000000000002,0,1,-1,70.0,0.9487625160849144,10,1.4310418947940144
full-rank,10.000000000000002,0,1,-1,75.0,1.020208289693984,10,1.394964989005179
full-rank,10.000000000000002,0,1,-1,80.0,1.1090898842295207,10,1.3551252444134474
full-rank,10.000000000000002,0,1,-1,82.13,1.1542954798309797,10,1.3366278845694488
full-rank,10.000000000000002,0,1,-1,85.0,1.226080259989938,10,1.30933353940197
full-rank,10.000000000000002,0,1,-1,90.0,1.4000089321454452,10,1.2553895417872745
full-rank,10.000000000000002,0,1,-1,95.0,1.720985976410524,10,1.1858605106177746
full-rank,10.000000000000002,0,1,-1,99.0,2.6702350841125444,10,1.0870245173716826
full-rank,10.000000000000002,0,1,-1,99.73,3.675607258421747,10,1.0472738254022291
full-rank,20.000000000000004,0,1,-1,5.0,0.4190214205032611,20,1.710163062413186
full-rank,20.000000000000004,0,1,-1,10.0,0.4723568176495242,20,1.7011097309011616
full-rank,20.000000000000004,0,1,-1,15.0,0.5139256523870351,20,1.6829510338132867
full-rank,20.000000000000004,0,1,-1,20.0,0.5505286028581976,20,1.6623987765080406
full-rank,20.000000000000004,0,1,-1,25.0,0.5850318438797781,20,1.6403533783138853
full-rank,20.000000000000004,0,1,-1,30.0,0.6182547601995936,20,1.6184789759814278
full-rank,20.000000000000004,0,1,-1,35.0,0.6517754875888283,20,1.594257838149905
full-rank,20.000000000000004,0,1,-1,40.0,0.686015934629892,20,1.5698796420643109
full-rank,20.000000000000004,0,1,-1,45.0,0.7213767073953996,20,1.544483876920511
full-rank,20.000000000000004,0,1,-1,50.0,0.7594158143537282,20,1.5175321378578073
full-rank,20.000000000000004,0,1,-1,60.0,0.8446960985858638,20,1.4596417312476424
full-rank,20.000000000000004,0,1,-1,70.0,0.952162155903832,20,1.39366985816664
full-rank,20.000000000000004,0,1,-1,75.0,1.02038927381358,20,1.3564337930805463
full-rank,20.000000000000004,0,1,-1,80.0,1.1049222685839195,20,1.3152770368113171
full-rank,20.000000000000004,0,1,-1,82.13,1.1489534490173845,20,1.295854335720612
full-rank,20.000000000000004,0,1,-1,85.0,1.2179894110770837,20,1.267763109177907
full-rank,20.000000000000004,0,1,-1,90.0,1.3856963585802446,20,1.211871436842153
full-rank,20.000000000000004,0,1,-1,95.0,1.6990116303795002,20,1.1403783396827554
full-rank,20.000000000000004,0,1,-1,99.0,2.6268548760599795,20,1.0473233671332611
full-rank,20.000000000000004,0,1,-1,99.73,3.603106146796829,20,1.0104653692163976
full-rank,50.0,0,1,-1,5.0,0.4433929829875968,50,1.804031920575072
full-rank,50.0,0,1,-1,10.0,0.4934809042933746,50,1.7814503151802306
full-rank,50.0,0,1,-1,15.0,0.5321493301895363,50,1.7564857846764352
full-rank,50.0,0,1,-1,20.0,0.5668779307404436,50,1.7315310725922484
full-rank,50.0,0,1,-1,25.0,0.5995305420398295,50,1.7061668416342728
full-rank,50.0,0,1,-1,30.0,0.6313828308783757,50,1.6804993134209878
full-rank,50.0,0,1,-1,35.0,0.6635005526874552,50,1.654364146518148
full-rank,50.0,0,1,-1,40.0,0.6961461422651427,50,1.627407905676184
full-rank,50.0,0,1,-1,45.0,0.7303169574014811,50,1.6000194823579803
full-rank,50.0,0,1,-1,50.0,0.766861078553084,50,1.5713548147747065
full-rank,50.0,0,1,-1,60.0,0.8494388947797027,50,1.5094391295119358
