eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
25.0,0,1,-1,70.0,1.061631345945933,50,0.9850542172553427
25.0,0,1,-1,75.0,1.0833382424180038,50,0.985703195971702
25.0,0,1,-1,80.0,1.1077136644469534,50,0.9863956810098727
25.0,0,1,-1,82.13,1.119080034793369,50,0.986703485098051
25.0,0,1,-1,85.0,1.1360579947235647,50,0.9871575399239262
25.0,0,1,-1,90.0,1.1722270325556798,50,0.9880718860454396
25.0,0,1,-1,95.0,1.226350232552326,50,0.9893174125970198
25.0,0,1,-1,99.0,1.3284999965948967,50,0.9912976306931476
25.0,0,1,-1,99.73,1.3923160747284649,50,0.992323326018486
50.0,0,1,-1,5.0,0.8343101867677417,50,0.9893812813654735
50.0,0,1,-1,5.0,0.8344441208659268,100,0.9861185960726371
50.0,0,1,-1,10.0,0.8684130061574369,50,0.9901532794340417
50.0,0,1,-1,10.0,0.8683795428453405,100,0.9869744327647683
50.0,0,1,-1,15.0,0.8918471511900293,50,0.9906563008795072
50.0,0,1,-1,15.0,0.8919744517255911,100,0.9875426797209954
50.0,0,1,-1,20.0,0.9106891704678693,50,0.9910439709036563
50.0,0,1,-1,20.0,0.9107448233462936,100,0.9879765619241226
50.0,0,1,-1,25.0,0.9269371425831814,50,0.9913626059201162
50.0,0,1,-1,25.0,0.9269966954058152,100,0.9883437116740262
50.0,0,1,-1,30.0,0.9415316120571948,50,0.9916444314885788
50.0,0,1,-1,30.0,0.9415597721590352,100,0.9886611111849088
50.0,0,1,-1,35.0,0.9551957952983898,50,0.9918989097646762
50.0,0,1,-1,35.0,0.9551791441504875,100,0.988949882789474
50.0,0,1,-1,40.0,0.9682217481700853,50,0.9921349407236673
50.0,0,1,-1,40.0,0.9681931559906755,100,0.9892231326882508
50.0,0,1,-1,45.0,0.9808840182221179,50,0.9923591858975327
50.0,0,1,-1,45.0,0.9807585557539602,100,0.9894775744356561
50.0,0,1,-1,50.0,0.9933127949182806,50,0.9925724598903157
50.0,0,1,-1,50.0,0.9933074780099644,100,0.9897247303107093
50.0,0,1,-1,60.0,1.01861443533504,50,0.9929890116183827
50.0,0,1,-1,60.0,1.0186651759873682,100,0.9902091179211376
50.0,0,1,-1,70.0,1.0461253759461742,50,0.9934209138064336
50.0,0,1,-1,70.0,1.0460519086083808,100,0.9907092031856324
50.0,0,1,-1,75.0,1.0614013865667644,50,0.9936490526798716
50.0,0,1,-1,75.0,1.061381081315594,100,0.9909674564525597
50.0,0,1,-1,80.0,1.0785189345477546,50,0.9938900853001111
50.0,0,1,-1,80.0,1.0784774025876633,100,0.9912520887604795
50.0,0,1,-1,82.13,1.0865111299154413,50,0.9939991419392588
50.0,0,1,-1,82.13,1.0865084017914488,100,0.9913836853723572
50.0,0,1,-1,85.0,1.0984756044637405,50,0.9941646052606334
50.0,0,1,-1,85.0,1.098459487577658,100,0.99158090816598
50.0,0,1,-1,90.0,1.123960116407321,50,0.9945021409566511
50.0,0,1,-1,90.0,1.1237556039214618,100,0.9919688669905771
50.0,0,1,-1,95.0,1.1617831791212292,50,0.9949541507627074
50.0,0,1,-1,95.0,1.1614511997125319,100,0.9925011332516954
50.0,0,1,-1,99.0,1.2326395561283128,50,0.995724101056808
50.0,0,1,-1,99.0,1.2327157746052724,100,0.9934257692533055
50.0,0,1,-1,99.73,1.276324728137484,50,0.9961204601271912
50.0,0,1,-1,99.73,1.2774494149565876,100,0.9939470118282232
50.04,0,1,-1,5.0,0.8346442393228831,500,0.9890371610781413
50.04,0,1,-1,10.0,0.8685577383424044,500,0.9896746741689768
