i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
4,1.0,0,1,-1,80.0,1.2833463508439695,5,0.8432357090763987,0.00010837922990626152,0.9194253724846373
4,1.0,0,1,-1,80.0,1.279622882982955,10,0.9232404502368118,0.0001046243005655019,0.9759686684653801
5,1.0,0,1,-1,80.0,1.2855533064568423,2,0.9869104591002923,9.504666419533885e-05,0.9321671720473418
5,1.0,0,1,-1,80.0,1.283689620326211,2,0.947032102815434,0.0001284143881394784,0.9271759503407262
5,1.0,0,1,-1,80.0,1.2825414308576801,5,0.9395020988627425,0.00010010625230826503,0.9194253724846373
5,1.0,0,1,-1,80.0,1.2789554914201475,10,0.9553941295463355,8.86416097840286e-05,0.9759686684653801
6,1.0,0,1,-1,80.0,1.2839783949074035,2,0.9320436755342909,0.00010808341646490389,0.9321671720473418
6,1.0,0,1,-1,80.0,1.2758003835348255,2,0.9842231560013697,0.0001151418811412362,0.9271759503407262
6,1.0,0,1,-1,80.0,1.285479648869283,5,0.9693816084,8.252682562983638e-05,0.9194253724846373
6,1.0,0,1,-1,80.0,1.2860166379539288,10,0.9171571117034019,0.00010621072455925648,0.9759686684653801
7,1.0,0,1,-1,80.0,1.276487974588841,2,0.90404405253228,8.976375290702222e-05,0.9321671720473418
7,1.0,0,1,-1,80.0,1.2798757510832572,2,0.962838385306097,9.87519864855399e-05,0.9271759503407262
7,1.0,0,1,-1,80.0,1.2830783073625052,5,0.978046306683515,0.0001181428494972425,0.9194253724846373
7,1.0,0,1,-1,80.0,1.280333460479081,10,0.9673990434471985,0.00011103187149434825,0.9759686684653801
8,1.0,0,1,-1,80.0,1.276880660964492,2,0.8984441903394742,0.00010656841244885065,0.9321671720473418
8,1.0,0,1,-1,80.0,1.2881866810926876,2,0.8612121886995301,0.00012390385542927046,0.9271759503407262
8,1.0,0,1,-1,80.0,1.2803188798735479,5,0.948338885703363,0.00010699695456772611,0.9194253724846373
8,1.0,0,1,-1,80.0,1.2780170782203377,10,0.9611464769730799,0.0001014953446037109,0.9759686684653801
9,1.0,0,1,-1,80.0,1.278897929106076,2,0.8474653351746222,9.391118265728855e-05,0.9321671720473418
9,1.0,0,1,-1,80.0,1.28037137605717,2,0.890448154033171,0.00011199066370120602,0.9271759503407262
9,1.0,0,1,-1,80.0,1.2794741024012544,5,0.9405064309165899,6.788849245573434e-05,0.9194253724846373
9,1.0,0,1,-1,80.0,1.2811325906026396,10,1.0782275256406237,9.178753282642273e-05,0.9759686684653801
0,1.0,0,1,-1,82.13,1.340266457877234,2,0.9929514917429478,0.00010588377073025076,0.9382965039775624
0,1.0,0,1,-1,82.13,1.344215032491495,2,0.938533766230418,9.101458285783405e-05,0.9354005288255778
0,1.0,0,1,-1,82.13,1.344448482360416,5,0.881856258475915,0.00010206367515485443,0.9288203258425606
0,1.0,0,1,-1,82.13,1.3460493904755602,10,1.0129138349040923,0.00010625308874478851,0.98045024422245
1,1.0,0,1,-1,82.13,1.3383880241278683,2,0.9136859599525904,0.00011203514851946237,0.9382965039775624
1,1.0,0,1,-1,82.13,1.3440847106492155,2,0.9171000434712542,8.717713715430458e-05,0.9354005288255778
1,1.0,0,1,-1,82.13,1.3455063523174726,5,0.9609132118565544,9.793822992234521e-05,0.9288203258425606
1,1.0,0,1,-1,82.13,1.345845034562247,10,1.029516474855232,0.00010632917682060542,0.98045024422245
2,1.0,0,1,-1,82.13,1.3327854989270242,2,0.9513200158413656,0.00010038233898152586,0.9382965039775624
2,1.0,0,1,-1,82.13,1.3455271120453556,2,0.9593522223787306,9.599239061843427e-05,0.9354005288255778
2,1.0,0,1,-1,82.13,1.3377640558541692,5,0.9052603105281442,9.352268358076508e-05,0.9288203258425606
2,1.0,0,1,-1,82.13,1.3437851810237704,10,0.9160170237135198,0.00012517949944332557,0.98045024422245
3,1.0,0,1,-1,82.13,1.3356189523031319,2,0.9804944409801813,9.606789743254931e-05,0.9382965039775624
3,1.0,0,1,-1,82.13,1.3448393188516394,2,0.9381639095730339,0.00011274383272279128,0.9354005288255778
3,1.0,0,1,-1,82.13,1.3469310648906219,5,0.8647630184806887,0.00010090651265953535,0.9288203258425606
3,1.0,0,1,-1,82.13,1.3420330436065835,10,1.0055340202186416,0.00010697331680078184,0.98045024422245
4,1.0,0,1,-1,82.13,1.3446970264119165,2,0.9414712998028406,0.00012530083772271293,0.9382965039775624
4,1.0,0,1,-1,82.13,1.3485886522926602,2,0.9123088969246345,0.00012806225148687128,0.9354005288255778
4,1.0,0,1,-1,82.13,1.3472858650499815,5,0.8599578403492731,0.0001062717641390915,0.9288203258425606
4,1.0,0,1,-1,82.13,1.344332878697917,10,0.9323172059121712,0.00010360571031755159,0.98045024422245
5,1.0,0,1,-1,82.13,1.347876875982888,2,0.9838524893443493,9.53420843194535e-05,0.9382965039775624
5,1.0,0,1,-1,82.13,1.346239921393095,2,0.9563719960277498,0.00012716029801855354,0.9354005288255778
5,1.0,0,1,-1,82.13,1.3449236668320192,5,0.953731908869363,9.861265338641481e-05,0.9288203258425606
