covtype,i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
full-rank,6,2.0,0,1,-1,10.0,0.1690583543858053,2,2.003632596235828,5.4764965968279086e-05,2.0938108057792473
full-rank,7,2.0,0,1,-1,10.0,0.16955946267654434,2,2.377043499445375,5.006071771452589e-05,2.0938108057792473
full-rank,8,2.0,0,1,-1,10.0,0.17041753782539862,2,1.8775834726985234,5.1419751100468846e-05,2.0938108057792473
full-rank,9,2.0,0,1,-1,10.0,0.1697648945861929,2,2.0880492414538088,4.750595808988478e-05,2.0938108057792473
full-rank,0,2.0,0,1,-1,15.0,0.22705575326216174,2,2.18287041455473,4.1156129049330186e-05,2.0727486548536294
full-rank,1,2.0,0,1,-1,15.0,0.2265290719318776,2,2.0262716153051943,4.50412931593404e-05,2.0727486548536294
full-rank,2,2.0,0,1,-1,15.0,0.22433352484877647,2,1.9383032433832814,4.251876161826599e-05,2.0727486548536294
full-rank,3,2.0,0,1,-1,15.0,0.2272189099243663,2,2.091988129994246,4.5619150010494476e-05,2.0727486548536294
full-rank,4,2.0,0,1,-1,15.0,0.22950313722449156,2,2.5942055438548497,4.01475311601716e-05,2.0727486548536294
full-rank,5,2.0,0,1,-1,15.0,0.22739332290139988,2,1.597066070535093,4.6821235480113786e-05,2.0727486548536294
full-rank,6,2.0,0,1,-1,15.0,0.22504381485539296,2,2.0160057123405855,5.442884922106416e-05,2.0727486548536294
full-rank,7,2.0,0,1,-1,15.0,0.22684085473709747,2,2.2807989421237194,5.2173166789564775e-05,2.0727486548536294
full-rank,8,2.0,0,1,-1,15.0,0.2255970839961294,2,1.89297758283316,5.100159437282735e-05,2.0727486548536294
full-rank,9,2.0,0,1,-1,15.0,0.22542146675742564,2,2.106999293611436,4.707869625532652e-05,2.0727486548536294
full-rank,0,2.0,0,1,-1,20.0,0.2812659249864057,2,2.156062958884875,4.1667844674556346e-05,2.0536649665492055
full-rank,1,2.0,0,1,-1,20.0,0.2803810216547315,2,2.0554856991498514,4.440113296976916e-05,2.0536649665492055
full-rank,2,2.0,0,1,-1,20.0,0.2784609994399315,2,1.9095904347559964,4.315807832366749e-05,2.0536649665492055
full-rank,3,2.0,0,1,-1,20.0,0.27957866510391305,2,2.0633136536615386,4.625313274742485e-05,2.0536649665492055
full-rank,4,2.0,0,1,-1,20.0,0.282492294911541,2,2.5195211268074464,4.1337596577241235e-05,2.0536649665492055
full-rank,5,2.0,0,1,-1,20.0,0.28238073882655557,2,1.583263352748018,4.7229417920926616e-05,2.0536649665492055
full-rank,6,2.0,0,1,-1,20.0,0.27952654812680866,2,2.033925841217376,5.394929781712847e-05,2.0536649665492055
full-rank,7,2.0,0,1,-1,20.0,0.2812734295966871,2,2.2044432676144274,5.3980297596706855e-05,2.0536649665492055
full-rank,8,2.0,0,1,-1,20.0,0.2799896385863338,2,1.887322674313008,5.115440838522998e-05,2.0536649665492055
full-rank,9,2.0,0,1,-1,20.0,0.2797705316318472,2,2.1237206563395192,4.6708016639577324e-05,2.0536649665492055
full-rank,0,2.0,0,1,-1,25.0,0.33527555146341675,2,2.122262661920691,4.23314691867941e-05,2.0320189441066123
full-rank,1,2.0,0,1,-1,25.0,0.33360443492100555,2,2.063905491313459,4.421999661783462e-05,2.0320189441066123
full-rank,2,2.0,0,1,-1,25.0,0.3323683696675389,2,1.8835551228200778,4.375462791125225e-05,2.0320189441066123
full-rank,3,2.0,0,1,-1,25.0,0.3323556396006611,2,2.027315348840057,4.707443288336222e-05,2.0320189441066123
full-rank,4,2.0,0,1,-1,25.0,0.33622655380133576,2,2.4556264784926487,4.2413188170105605e-05,2.0320189441066123
full-rank,5,2.0,0,1,-1,25.0,0.3370347774417316,2,1.5744309065209026,4.7494371620956775e-05,2.0320189441066123
full-rank,6,2.0,0,1,-1,25.0,0.3336927981983281,2,2.0432053650494355,5.370427898378922e-05,2.0320189441066123
full-rank,7,2.0,0,1,-1,25.0,0.3350985944239091,2,2.1463399126442493,5.5441592880916196e-05,2.0320189441066123
full-rank,8,2.0,0,1,-1,25.0,0.33316487247444204,2,1.8732302726789167,5.1539245465237264e-05,2.0320189441066123
full-rank,9,2.0,0,1,-1,25.0,0.33367982753241104,2,2.1303178807856877,4.656337002510445e-05,2.0320189441066123
full-rank,0,2.0,0,1,-1,30.0,0.38991270656418925,2,2.0839843186953155,4.3109007910204904e-05,2.0084751182790406
full-rank,1,2.0,0,1,-1,30.0,0.3881007501614587,2,2.054421973620789,4.4424122705697654e-05,2.0084751182790406
full-rank,2,2.0,0,1,-1,30.0,0.3871999063933845,2,1.8628243355874468,4.4241559429346826e-05,2.0084751182790406
full-rank,3,2.0,0,1,-1,30.0,0.38659011160608825,2,1.9856313271221695,4.806265846978629e-05,2.0084751182790406
full-rank,4,2.0,0,1,-1,30.0,0.3912772594916932,2,2.401591207976742,4.3367475514513595e-05,2.0084751182790406
full-rank,5,2.0,0,1,-1,30.0,0.3919995861933033,2,1.570135432129433,4.762430363373867e-05,2.0084751182790406
full-rank,6,2.0,0,1,-1,30.0,0.38758381933137737,2,2.0513212571223693,5.349180220543292e-05,2.0084751182790406
full-rank,7,2.0,0,1,-1,30.0,0.3896604735480438,2,2.0943815939068178,5.681701174565327e-05,2.0084751182790406
full-rank,8,2.0,0,1,-1,30.0,0.38572225437952073,2,1.8558251016724043,5.202261503495624e-05,2.0084751182790406
full-rank,9,2.0,0,1,-1,30.0,0.3872855017324669,2,2.1246346349569176,4.668792371264896e-05,2.0084751182790406
full-rank,0,2.0,0,1,-1,35.0,0.44590610128179475,2,2.0447624024747557,4.39359098008887e-05,1.981139320497601
full-rank,1,2.0,0,1,-1,35.0,0.44300710361007467,2,2.0322611367290677,4.490854654254929e-05,1.981139320497601
full-rank,2,2.0,0,1,-1,35.0,0.44257007401100207,2,1.8401957372181226,4.478559094692479e-05,1.981139320497601
full-rank,3,2.0,0,1,-1,35.0,0.44244046076458476,2,1.9392638621817524,4.9211828355844937e-05,1.981139320497601
full-rank,4,2.0,0,1,-1,35.0,0.4472863902458166,2,2.348948341849389,4.433939480584818e-05,1.981139320497601
full-rank,5,2.0,0,1,-1,35.0,0.44727415607230064,2,1.5624807226856985,4.785761864459516e-05,1.981139320497601
full-rank,6,2.0,0,1,-1,35.0,0.4423073182664369,2,2.0528586152487702,5.345174291630043e-05,1.981139320497601
full-rank,7,2.0,0,1,-1,35.0,0.44489146489564485,2,2.049345356636495,5.806561750830894e-05,1.981139320497601
full-rank,8,2.0,0,1,-1,35.0,0.4412893359383252,2,1.8286690967796242,5.2795158515300704e-05,1.981139320497601
full-rank,9,2.0,0,1,-1,35.0,0.4428277663806575,2,2.112607933172334,4.6953709771016276e-05,1.981139320497601
full-rank,0,2.0,0,1,-1,40.0,0.5041381458736439,2,2.0057351388141575,4.4790807490411806e-05,1.951413410514053
