i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
0,1.0,0,1,-1,80.0,1.2788344793526047,2,0.9848243729012381,0.00010675756103419907,0.9236843251915033
0,1.0,0,1,-1,80.0,1.281297782481958,2,0.9203089371411224,9.281693981675948e-05,0.919627381179288
0,1.0,0,1,-1,80.0,1.2839239115570085,5,0.8644389592080134,0.0001041201229301637,0.9090786885403537
0,1.0,0,1,-1,80.0,1.2813658628776126,10,1.0142050186963594,0.00010611781800215114,0.9701758449015051
1,1.0,0,1,-1,80.0,1.274238872575013,2,0.8940359602949709,0.00011449756695431196,0.9236843251915033
1,1.0,0,1,-1,80.0,1.280173790739009,2,0.8967514221840053,8.915531583902766e-05,0.919627381179288
1,1.0,0,1,-1,80.0,1.2823133526178292,5,0.9455573178825358,9.95287512437374e-05,0.9090786885403537
1,1.0,0,1,-1,80.0,1.2821470664437755,10,1.0346702939991963,0.00010579953820022726,0.9701758449015051
2,1.0,0,1,-1,80.0,1.2710154667573503,2,0.9341261045274847,0.00010223001781799446,0.9236843251915033
2,1.0,0,1,-1,80.0,1.2836513654936996,2,0.9423985981581651,9.771928083427216e-05,0.919627381179288
2,1.0,0,1,-1,80.0,1.2756008207038916,5,0.8835430437443776,9.582144772591619e-05,0.9090786885403537
2,1.0,0,1,-1,80.0,1.2795346264216607,10,0.895237245981512,0.00012808510037393074,0.9701758449015051
3,1.0,0,1,-1,80.0,1.2726771710086642,2,0.9652685620216532,9.758324583988249e-05,0.9236843251915033
3,1.0,0,1,-1,80.0,1.281749117476198,2,0.9178593265099478,0.0001152379148225778,0.919627381179288
3,1.0,0,1,-1,80.0,1.2831443572261894,5,0.8420709869372268,0.00010362572968960933,0.9090786885403537
3,1.0,0,1,-1,80.0,1.2776047772692702,10,1.004372908927051,0.00010709698394167374,0.9701758449015051
4,1.0,0,1,-1,80.0,1.2825023830017264,2,0.929197194684353,0.00012695598225225015,0.9236843251915033
4,1.0,0,1,-1,80.0,1.2835848307669642,2,0.8938429350791585,0.00013070789822971083,0.919627381179288
4,1.0,0,1,-1,80.0,1.2833463508439695,5,0.8271054185510196,0.00011049285221618115,0.9090786885403537
4,1.0,0,1,-1,80.0,1.279622882982955,10,0.9112367199935375,0.00010600251750224743,0.9701758449015051
5,1.0,0,1,-1,80.0,1.2855533064568423,2,0.98369967572093,9.535689531281744e-05,0.9236843251915033
5,1.0,0,1,-1,80.0,1.283689620326211,2,0.9411498109666131,0.0001292169924643397,0.919627381179288
5,1.0,0,1,-1,80.0,1.2825414308576801,5,0.9317139597350568,0.00010094303425446413,0.9090786885403537
5,1.0,0,1,-1,80.0,1.2789554914201475,10,0.9406687457334449,9.002922017480923e-05,0.9701758449015051
6,1.0,0,1,-1,80.0,1.2839783949074035,2,0.9191227426763006,0.00010960284200227967,0.9236843251915033
6,1.0,0,1,-1,80.0,1.2758003835348255,2,0.9822968702034455,0.00011536767456185731,0.919627381179288
6,1.0,0,1,-1,80.0,1.285479648869283,5,0.9572466905898253,8.357300970756416e-05,0.9090786885403537
6,1.0,0,1,-1,80.0,1.2860166379539288,10,0.9057934152089099,0.00010754319884984636,0.9701758449015051
7,1.0,0,1,-1,80.0,1.276487974588841,2,0.8991118269377573,9.025616671616577e-05,0.9236843251915033
7,1.0,0,1,-1,80.0,1.2798757510832572,2,0.9575658135709478,9.92957370302589e-05,0.919627381179288
7,1.0,0,1,-1,80.0,1.2830783073625052,5,0.9708223062841466,0.00011902196402358386,0.9090786885403537
7,1.0,0,1,-1,80.0,1.280333460479081,10,0.9619879145958141,0.0001116564196348711,0.9701758449015051
8,1.0,0,1,-1,80.0,1.276880660964492,2,0.8884388092498511,0.00010776855990702751,0.9236843251915033
8,1.0,0,1,-1,80.0,1.2881866810926876,2,0.8571261040618225,0.00012449452888773017,0.919627381179288
8,1.0,0,1,-1,80.0,1.2803188798735479,5,0.9387806252832078,0.00010808635152413785,0.9090786885403537
8,1.0,0,1,-1,80.0,1.2780170782203377,10,0.9553328046608565,0.00010211299394210209,0.9701758449015051
9,1.0,0,1,-1,80.0,1.278897929106076,2,0.8390180029004946,9.485669152768223e-05,0.9236843251915033
9,1.0,0,1,-1,80.0,1.28037137605717,2,0.8869739939176524,0.00011242931635597293,0.919627381179288
9,1.0,0,1,-1,80.0,1.2794741024012544,5,0.9295075771881264,6.86918162980481e-05,0.9090786885403537
9,1.0,0,1,-1,80.0,1.2811325906026396,10,1.0782533812183694,9.178533184126245e-05,0.9701758449015051
0,1.0,0,1,-1,82.13,1.340266457877234,2,0.9831279486560276,0.00010694177522030328,0.9325028363856319
0,1.0,0,1,-1,82.13,1.344215032491495,2,0.9300204326746563,9.18477231578583e-05,0.9301043017200985
0,1.0,0,1,-1,82.13,1.344448482360416,5,0.8771349457988017,0.00010261304845903004,0.9215582302913354
0,1.0,0,1,-1,82.13,1.3460493904755602,10,1.0124026610032049,0.00010630673716744394,0.9765333823372201
1,1.0,0,1,-1,82.13,1.3383880241278683,2,0.9059416261522046,0.00011299286760694445,0.9325028363856319
1,1.0,0,1,-1,82.13,1.3440847106492155,2,0.9043614483312361,8.840509115181706e-05,0.9301043017200985
1,1.0,0,1,-1,82.13,1.3455063523174726,5,0.9565069667642774,9.838939218246075e-05,0.9215582302913354
1,1.0,0,1,-1,82.13,1.345845034562247,10,1.0318834570195603,0.0001060852740199839,0.9765333823372201
2,1.0,0,1,-1,82.13,1.3327854989270242,2,0.9457448600608737,0.0001009740917904136,0.9325028363856319
2,1.0,0,1,-1,82.13,1.3455271120453556,2,0.9549797942541689,9.643189712004748e-05,0.9301043017200985
2,1.0,0,1,-1,82.13,1.3377640558541692,5,0.8961431715591666,9.447416023094592e-05,0.9215582302913354
2,1.0,0,1,-1,82.13,1.3437851810237704,10,0.9070592490670751,0.00012641572491318474,0.9765333823372201
3,1.0,0,1,-1,82.13,1.3356189523031319,2,0.9742271591352463,9.668590996054589e-05,0.9325028363856319
3,1.0,0,1,-1,82.13,1.3448393188516394,2,0.9318957288064003,0.00011350217799896795,0.9301043017200985
3,1.0,0,1,-1,82.13,1.3469310648906219,5,0.8553366188127205,0.00010201857204821205,0.9215582302913354
3,1.0,0,1,-1,82.13,1.3420330436065835,10,1.0084019139625622,0.00010666908482564222,0.9765333823372201
4,1.0,0,1,-1,82.13,1.3446970264119165,2,0.9417071328986769,0.00012526945845049687,0.9325028363856319
4,1.0,0,1,-1,82.13,1.3485886522926602,2,0.9030541398169718,0.00012937467006723637,0.9301043017200985
4,1.0,0,1,-1,82.13,1.3472858650499815,5,0.8488245909583549,0.00010766563286765594,0.9215582302913354
4,1.0,0,1,-1,82.13,1.344332878697917,10,0.9231318560039941,0.00010463660822835645,0.9765333823372201
