covtype,i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
full-rank,9,2.0,0,1,-1,20.0,0.2797705316318472,2,2.0830761267055986,4.761937333082381e-05,1.9074427957650477
full-rank,0,2.0,0,1,-1,25.0,0.33527555146341675,2,1.8848445738005186,4.766360989555383e-05,1.8471794042439433
full-rank,1,2.0,0,1,-1,25.0,0.33360443492100555,2,1.8404055550226988,4.9590099093286986e-05,1.8471794042439433
full-rank,2,2.0,0,1,-1,25.0,0.3323683696675389,2,1.772283295488186,4.650173804556683e-05,1.8471794042439433
full-rank,3,2.0,0,1,-1,25.0,0.3323556396006611,2,1.7815068985793863,5.356966082953882e-05,1.8471794042439433
full-rank,4,2.0,0,1,-1,25.0,0.33622655380133576,2,2.0459779637787827,5.090521489070329e-05,1.8471794042439433
full-rank,5,2.0,0,1,-1,25.0,0.3370347774417316,2,1.5760534055483417,4.7445477610453984e-05,1.8471794042439433
full-rank,6,2.0,0,1,-1,25.0,0.3336927981983281,2,1.9688050286853351,5.5733741709843646e-05,1.8471794042439433
full-rank,7,2.0,0,1,-1,25.0,0.3350985944239091,2,1.854142092957133,6.41787401693139e-05,1.8471794042439433
full-rank,8,2.0,0,1,-1,25.0,0.33316487247444204,2,1.7202586615930784,5.612230125154829e-05,1.8471794042439433
full-rank,9,2.0,0,1,-1,25.0,0.33367982753241104,2,2.027516566985974,4.892427582063084e-05,1.8471794042439433
full-rank,0,2.0,0,1,-1,30.0,0.38991270656418925,2,1.8154438783688123,4.948569192901727e-05,1.79178256988273
full-rank,1,2.0,0,1,-1,30.0,0.3881007501614587,2,1.78773119206834,5.105123983422818e-05,1.79178256988273
full-rank,2,2.0,0,1,-1,30.0,0.3871999063933845,2,1.7298646670375157,4.764202374886602e-05,1.79178256988273
full-rank,3,2.0,0,1,-1,30.0,0.38659011160608825,2,1.7151487397713467,5.564224146245422e-05,1.79178256988273
full-rank,4,2.0,0,1,-1,30.0,0.3912772594916932,2,1.9716652770227905,5.282384851097553e-05,1.79178256988273
full-rank,5,2.0,0,1,-1,30.0,0.3919995861933033,2,1.5483438679276087,4.8294573392090775e-05,1.79178256988273
full-rank,6,2.0,0,1,-1,30.0,0.38758381933137737,2,1.9055992525923766,5.7582343610029575e-05,1.79178256988273
full-rank,7,2.0,0,1,-1,30.0,0.3896604735480438,2,1.7950441969598425,6.629168452922823e-05,1.79178256988273
full-rank,8,2.0,0,1,-1,30.0,0.38572225437952073,2,1.6801709219148118,5.746134132977636e-05,1.79178256988273
full-rank,9,2.0,0,1,-1,30.0,0.3872855017324669,2,1.9688137051638555,5.038301973109477e-05,1.79178256988273
full-rank,0,2.0,0,1,-1,35.0,0.44590610128179475,2,1.7566171352226532,5.114290113536449e-05,1.7401079877603483
full-rank,1,2.0,0,1,-1,35.0,0.44300710361007467,2,1.7480227366091834,5.221093063265822e-05,1.7401079877603483
full-rank,2,2.0,0,1,-1,35.0,0.44257007401100207,2,1.6846324147033758,4.8921208466617776e-05,1.7401079877603483
full-rank,3,2.0,0,1,-1,35.0,0.44244046076458476,2,1.6551624540472425,5.7658823814557955e-05,1.7401079877603483
full-rank,4,2.0,0,1,-1,35.0,0.4472863902458166,2,1.906474863435885,5.463011860544528e-05,1.7401079877603483
full-rank,5,2.0,0,1,-1,35.0,0.44727415607230064,2,1.5240407585270355,4.9064702598960785e-05,1.7401079877603483
full-rank,6,2.0,0,1,-1,35.0,0.4423073182664369,2,1.8603290486249096,5.898358197809013e-05,1.7401079877603483
full-rank,7,2.0,0,1,-1,35.0,0.44489146489564485,2,1.7416845401919796,6.83226502129755e-05,1.7401079877603483
full-rank,8,2.0,0,1,-1,35.0,0.4412893359383252,2,1.6275821256353293,5.931797438413473e-05,1.7401079877603483
full-rank,9,2.0,0,1,-1,35.0,0.4428277663806575,2,1.8965338006058878,5.230319634821719e-05,1.7401079877603483
full-rank,0,2.0,0,1,-1,40.0,0.5041381458736439,2,1.7075125231116708,5.261366769695073e-05,1.6891351822528367
full-rank,1,2.0,0,1,-1,40.0,0.5014506376337955,2,1.7017622978592342,5.363022436225154e-05,1.6891351822528367
full-rank,2,2.0,0,1,-1,40.0,0.5014685452524215,2,1.6367212041080315,5.0353263184024715e-05,1.6891351822528367
full-rank,3,2.0,0,1,-1,40.0,0.5004652976959849,2,1.599555939695831,5.966325900457663e-05,1.6891351822528367
full-rank,4,2.0,0,1,-1,40.0,0.5049771319663521,2,1.8504448055207166,5.628427694631742e-05,1.6891351822528367
