i,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE,variance,value_aggf
0,1.0,0,1,-1,95.0,1.9584969592719799,2,0.909584113296838,9.39113359421406e-05,0.9059985873422274
0,1.0,0,1,-1,95.0,1.9621716342721296,10,0.9990804630242034,0.00010772428004958522,0.9582384957815637
1,1.0,0,1,-1,95.0,1.9454054759176687,2,0.883819330036006,0.00011582111721777544,0.9118281110814745
1,1.0,0,1,-1,95.0,1.9477822027218168,2,0.8846477778786798,9.037512812797293e-05,0.9059985873422274
1,1.0,0,1,-1,95.0,1.9612325337159964,10,1.0257563866216763,0.00010671894489016,0.9582384957815637
2,1.0,0,1,-1,95.0,1.949334740241249,2,0.9242754848758753,0.0001033195512298187,0.9118281110814745
2,1.0,0,1,-1,95.0,1.9632281890738366,2,0.9071650229693634,0.00010151462075754235,0.9059985873422274
2,1.0,0,1,-1,95.0,1.9647319615175654,10,0.892877717952422,0.00012842357940455787,0.9582384957815637
3,1.0,0,1,-1,95.0,1.9493785673276944,2,0.9177592866855407,0.0001026347984224139,0.9118281110814745
3,1.0,0,1,-1,95.0,1.9611603052622126,2,0.8898287743752824,0.00011886803161846609,0.9059985873422274
3,1.0,0,1,-1,95.0,1.9501605283484977,10,0.9922927963361543,0.00010840077615798103,0.9582384957815637
4,1.0,0,1,-1,95.0,1.9508695218134224,2,0.9102366018592829,0.00012960052618871104,0.9118281110814745
4,1.0,0,1,-1,95.0,1.954727555306911,2,0.9102718964512801,0.00012834882835243702,0.9059985873422274
4,1.0,0,1,-1,95.0,1.9634656125040943,10,0.8971697873146822,0.00010766455550060266,0.9582384957815637
5,1.0,0,1,-1,95.0,1.9489611005444,2,0.9907604587456134,9.467732201962839e-05,0.9118281110814745
5,1.0,0,1,-1,95.0,1.9614369115662873,2,0.94342288681349,0.0001289056580366062,0.9059985873422274
5,1.0,0,1,-1,95.0,1.9513332780082688,10,0.9238411670001722,9.166908408746215e-05,0.9582384957815637
6,1.0,0,1,-1,95.0,1.9491216758640986,2,0.9024697707750481,0.00011162530647396371,0.9118281110814745
6,1.0,0,1,-1,95.0,1.9525752684317403,2,0.9855869014373172,0.00011498256062402582,0.9059985873422274
6,1.0,0,1,-1,95.0,1.9619160124431407,10,0.8621511452968507,0.00011298705789592492,0.9582384957815637
7,1.0,0,1,-1,95.0,1.955902810953349,2,0.9014426851192882,9.002279156309528e-05,0.9118281110814745
7,1.0,0,1,-1,95.0,1.9501883893852654,2,0.9510391047428373,9.997717521743458e-05,0.9059985873422274
7,1.0,0,1,-1,95.0,1.9484922907833642,10,0.9586432240268035,0.00011204598706137784,0.9582384957815637
8,1.0,0,1,-1,95.0,1.9483186113722961,2,0.8976124511922876,0.00010666716009920855,0.9118281110814745
8,1.0,0,1,-1,95.0,1.9634958086929057,2,0.8351588731322364,0.0001277691155005623,0.9059985873422274
8,1.0,0,1,-1,95.0,1.9540191647047556,10,0.9540593493359276,0.00010224929189460421,0.9582384957815637
9,1.0,0,1,-1,95.0,1.9573463495310086,2,0.7987313371297723,9.964110356968949e-05,0.9118281110814745
9,1.0,0,1,-1,95.0,1.9618957935052685,2,0.84328052232495,0.00011825469357071393,0.9059985873422274
9,1.0,0,1,-1,95.0,1.9592094893044942,10,1.0765129209067452,9.193372646259631e-05,0.9582384957815637
0,1.0,0,1,-1,99.0,2.551259445692557,2,1.0075165430182174,0.00010435307373019455,0.9497659722353247
0,1.0,0,1,-1,99.0,2.557262234908482,2,0.9475179238531936,9.015160249853835e-05,0.9423433655779926
0,1.0,0,1,-1,99.0,2.536854429475134,5,0.9040490725913922,9.955819150432487e-05,0.9305695738057851
0,1.0,0,1,-1,99.0,2.5684411323811194,10,1.0194511404321591,0.00010557173298689408,0.9847678916388881
1,1.0,0,1,-1,99.0,2.546122117920851,2,0.9250723782750051,0.00011065614391634663,0.9497659722353247
1,1.0,0,1,-1,99.0,2.560133712154893,2,0.9287231934521878,8.60860984603247e-05,0.9423433655779926
1,1.0,0,1,-1,99.0,2.563672106888817,5,0.9728810151484177,9.673345210037784e-05,0.9305695738057851
1,1.0,0,1,-1,99.0,2.5559636170880995,10,1.0295819893722564,0.00010632241086632794,0.9847678916388881
2,1.0,0,1,-1,99.0,2.563396139829898,2,0.9599651014325415,9.947833329314959e-05,0.9497659722353247
2,1.0,0,1,-1,99.0,2.566984705379065,2,0.9510030201796559,9.683514280937312e-05,0.9423433655779926
2,1.0,0,1,-1,99.0,2.5619388889010315,5,0.9231178344515991,9.171350657529493e-05,0.9305695738057851
2,1.0,0,1,-1,99.0,2.5660161127641468,10,0.9299527102767564,0.00012330363817736304,0.9847678916388881
3,1.0,0,1,-1,99.0,2.5502686103501078,2,0.9651801696702887,9.759218262994988e-05,0.9497659722353247
