n,epsilon,m_est,var_mu_n,var_mu_n_fm,RE,var_X,modulation,M-estimator
10,0.45,hampel,0.0010738475016946099,0.05377702691403917,50.0788304011278,0.48424590389085376,0.022175665154137242,"Hampel
(Cutoff: π/4,π/2,3π/4)"
20,0.45,hampel,0.0005240210878456602,0.037597890000436895,71.74881101638145,0.48424590389085376,0.02164276800837004,"Hampel
(Cutoff: π/4,π/2,3π/4)"
50,0.45,hampel,0.00022684551349296444,0.02559449327694878,112.82785752667128,0.48424590389085376,0.023422553672657817,"Hampel
(Cutoff: π/4,π/2,3π/4)"
100,0.45,hampel,0.0001067142123051599,0.021490663113825272,201.38520117986332,0.48424590389085376,0.022037194625235835,"Hampel
(Cutoff: π/4,π/2,3π/4)"
500,0.45,hampel,2.0543426312961928e-05,0.017475087157904443,850.6413142426243,0.48424590389085376,0.021211770866720946,"Hampel
(Cutoff: π/4,π/2,3π/4)"
1000,0.45,hampel,1.0932666461069966e-05,0.017070691834593615,1561.4390044167624,0.48424590389085376,0.0225766834024354,"Hampel
(Cutoff: π/4,π/2,3π/4)"
5000,0.45,hampel,1.9929364970166554e-06,0.016082395751787732,8069.698043998102,0.48424590389085376,0.02057773210886934,"Hampel
(Cutoff: π/4,π/2,3π/4)"
10000,0.45,hampel,1.0109814353389142e-06,0.015652726848922372,15482.704530251896,0.48424590389085376,0.020877439070022236,"Hampel
(Cutoff: π/4,π/2,3π/4)"
10,0.45,cauchy,0.00656030546954896,0.05377702691403917,8.197335804507361,0.48424590389085376,0.1354746713774499,"Cauchy
(Cutoff: π/2)"
20,0.45,cauchy,0.00307812426822583,0.037597890000436895,12.214545848114046,0.48424590389085376,0.12713062696012484,"Cauchy
(Cutoff: π/2)"
50,0.45,cauchy,0.001304004758818178,0.02559449327694878,19.627607264366976,0.48424590389085376,0.1346428279868417,"Cauchy
(Cutoff: π/2)"
100,0.45,cauchy,0.0006756161641953759,0.021490663113825272,31.808983047970063,0.48424590389085376,0.13951923160668714,"Cauchy
(Cutoff: π/2)"
500,0.45,cauchy,0.00011958960481676306,0.017475087157904443,146.1254695563216,0.48424590389085376,0.12348024408247536,"Cauchy
(Cutoff: π/2)"
1000,0.45,cauchy,6.2285643417405e-05,0.017070691834593615,274.0710523000459,0.48424590389085376,0.12862399643847855,"Cauchy
(Cutoff: π/2)"
5000,0.45,cauchy,1.2180161075046607e-05,0.016082395751787732,1320.3762784989437,0.48424590389085376,0.12576421377218241,"Cauchy
(Cutoff: π/2)"
10000,0.45,cauchy,6.138635333914583e-06,0.015652726848922372,2549.8707770511414,0.48424590389085376,0.12676690261273116,"Cauchy
(Cutoff: π/2)"
10,0.45,huber_45,0.00842040677824134,0.05377702691403917,6.386511760097043,0.48424590389085376,0.17388700060412385,"Huber
(Cutoff: π/4)"
20,0.45,huber_45,0.004208423768243584,0.037597890000436895,8.933960093122618,0.48424590389085376,0.17381349989455516,"Huber
(Cutoff: π/4)"
50,0.45,huber_45,0.0018658415490015565,0.02559449327694878,13.717399149271184,0.48424590389085376,0.19265434503521442,"Huber
(Cutoff: π/4)"
100,0.45,huber_45,0.0010118560159433855,0.021490663113825272,21.238854911376738,0.48424590389085376,0.20895499741211068,"Huber
(Cutoff: π/4)"
500,0.45,huber_45,0.00018379627023733388,0.017475087157904443,95.07857333197826,0.48424590389085376,0.1897757614060898,"Huber
(Cutoff: π/4)"
1000,0.45,huber_45,9.558687870840709e-05,0.017070691834593615,178.58823371216752,0.48424590389085376,0.197393262266916,"Huber
(Cutoff: π/4)"
5000,0.45,huber_45,1.8996207538169358e-05,0.016082395751787732,846.6108679573614,0.48424590389085376,0.1961421602695786,"Huber
(Cutoff: π/4)"
10000,0.45,huber_45,9.525063523641702e-06,0.015652726848922372,1643.3199432288814,0.48424590389085376,0.19669889713282113,"Huber
(Cutoff: π/4)"
10,0.45,frechet,0.05377702691403917,0.05377702691403917,1.0,0.48424590389085376,1.1105313742862388,"$L^2 loss$
(Fréchet mean)"
20,0.45,frechet,0.037597890000436895,0.037597890000436895,1.0,0.48424590389085376,1.5528428717039284,"$L^2 loss$
(Fréchet mean)"
50,0.45,frechet,0.02559449327694878,0.02559449327694878,1.0,0.48424590389085376,2.6427165486894473,"$L^2 loss$
(Fréchet mean)"
100,0.45,frechet,0.021490663113825272,0.021490663113825272,1.0,0.48424590389085376,4.437964873042921,"$L^2 loss$
(Fréchet mean)"
500,0.45,frechet,0.017475087157904443,0.017475087157904443,1.0,0.48424590389085376,18.043608647480916,"$L^2 loss$
(Fréchet mean)"
1000,0.45,frechet,0.017070691834593615,0.017070691834593615,1.0,0.48424590389085376,35.25211405493117,"$L^2 loss$
(Fréchet mean)"
5000,0.45,frechet,0.016082395751787732,0.016082395751787732,1.0,0.48424590389085376,166.05608454885981,"$L^2 loss$
(Fréchet mean)"
10000,0.45,frechet,0.015652726848922372,0.015652726848922372,1.0,0.48424590389085376,323.2392204694912,"$L^2 loss$
(Fréchet mean)"
