n,epsilon,m_est,var_mu_n,var_mu_n_fm,RE,var_X,modulation,M-estimator
10,0.05,huber_45,2.6413813529537085,2.2868225471431343,0.8657676577393526,4.2239133464429965,6.253398534271647,"Huber
(Cutoff: π/4)"
20,0.05,huber_45,2.0244768642230087,2.0569113142563125,1.0160211512447943,4.2239133464429965,9.58578786152345,"Huber
(Cutoff: π/4)"
50,0.05,huber_45,1.6567424157352604,2.0399057612735065,1.231275146878037,4.2239133464429965,19.611463113115487,"Huber
(Cutoff: π/4)"
100,0.05,huber_45,1.277983398136413,2.04072631144156,1.5968331939345983,4.2239133464429965,30.25590946870671,"Huber
(Cutoff: π/4)"
500,0.05,huber_45,0.49549736582006415,2.0148473807386966,4.066313001289238,4.2239133464429965,58.65382705321451,"Huber
(Cutoff: π/4)"
1000,0.05,huber_45,0.43279767450424583,2.0015439854123125,4.624664371648968,4.2239133464429965,102.46367266712738,"Huber
(Cutoff: π/4)"
5000,0.05,huber_45,0.4198103884420861,1.9930517922917146,4.747504700128832,4.2239133464429965,496.9448400209406,"Huber
(Cutoff: π/4)"
10000,0.05,huber_45,0.4191969931343118,1.9935831220542846,4.755719040702984,4.2239133464429965,992.4374833288713,"Huber
(Cutoff: π/4)"
10,0.05,frechet,2.2868225471431343,2.2868225471431343,1.0,4.2239133464429965,5.413990201927065,"$L^2 loss$
(Fréchet mean)"
20,0.05,frechet,2.0569113142563125,2.0569113142563125,1.0,4.2239133464429965,9.739363218653432,"$L^2 loss$
(Fréchet mean)"
50,0.05,frechet,2.0399057612735065,2.0399057612735065,1.0,4.2239133464429965,24.147107125094475,"$L^2 loss$
(Fréchet mean)"
100,0.05,frechet,2.04072631144156,2.04072631144156,1.0,4.2239133464429965,48.31364055231099,"$L^2 loss$
(Fréchet mean)"
500,0.05,frechet,2.0148473807386966,2.0148473807386966,1.0,4.2239133464429965,238.5048195218566,"$L^2 loss$
(Fréchet mean)"
1000,0.05,frechet,2.0015439854123125,2.0015439854123125,1.0,4.2239133464429965,473.86009637196616,"$L^2 loss$
(Fréchet mean)"
5000,0.05,frechet,1.9930517922917146,1.9930517922917146,1.0,4.2239133464429965,2359.2479637041856,"$L^2 loss$
(Fréchet mean)"
10000,0.05,frechet,1.9935831220542846,1.9935831220542846,1.0,4.2239133464429965,4719.753836174463,"$L^2 loss$
(Fréchet mean)"
