n,epsilon,M-estimator,m_est,x,y,theta
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7492251441070099,-0.6623153957427148,-0.7239049430619438
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8040952164871727,0.5945005322305835,0.636644350957016
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8109841450850676,-0.5850681297256242,-0.6249640639181429
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7626400317551897,-0.6468231458168785,-0.7034114387976091
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8238469837159429,0.5668122682353859,0.6026313563945925
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7737985996026814,-0.6334317068579127,-0.6859800886618421
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7766694485054835,0.629908380447654,0.6814352412529033
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7130022672092238,0.701161726675454,0.777025539072118
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8370454441601464,0.5471333698566926,0.5789356886240747
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8259479084193563,0.5637464435166674,0.5989147474945812
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7459156155378001,-0.6660404601049889,-0.7288878272897066
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8022468786797301,0.5969924167429835,0.639746906161194
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8132596560171234,-0.5819009639920765,-0.621064203912763
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8243669756070074,-0.5660557300554001,-0.6017133467847662
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8056597558749329,-0.5923785595069606,-0.634007960287653
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7825421260135627,-0.6225976397434955,-0.6720578260893727
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7750959321873658,0.6318435691740469,0.6839294169153456
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8092461764472357,-0.5874696808393818,-0.6279285181973998
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.760003772859563,-0.6499186604793161,-0.707477406673278
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8251993617317613,-0.5648415825676194,-0.6002412662251164
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.77924731758797,0.6267165372255251,0.6773324012883913
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8314504934312175,0.555598845366856,0.5890830347211699
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8363500322617583,-0.5481957894181183,-0.5802054654743735
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8144884865800528,0.5801797180430699,0.6189493247586603
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7525578087672193,-0.6585261911750192,-0.718858679193385
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8507690429410744,0.5255397564153683,0.5533494224090737
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7266420121769684,0.6870162924846864,0.7573748806365524
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7274022789596518,-0.6862112827433717,-0.7562676108457024
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7821006558391156,0.623152119579179,0.6727665882667885
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7376664426641085,-0.6751653274326807,-0.7411888014312694
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7871174924636639,0.6168030909923476,0.6646746681605022
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8179468584136383,-0.5752937830458952,-0.6129632740125525
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7877943868704256,-0.615938311858784,-0.6635764745942485
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7535525628198473,0.6573876596557301,0.7173467962346088
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7847036571797424,0.6198710917672609,0.6685784162166215
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8131544156059339,0.582048018964562,0.6212450372868098
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7719927471446112,-0.6356313383999519,-0.688826048515364
