n,M-estimator,m_est,x,y,theta
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9995282680396627,-0.030712235178013157,-0.030717065403756502
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999995950472702,-0.0008999473849653507,-0.0008999475064440871
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9993330630310694,-0.03651614893359109,-0.036524269089780924
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996529468124783,-0.026343612681736125,-0.0263466606497805
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996689007671392,0.02573108701585326,0.02573392723973909
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999971712092633,0.007521636426259418,0.007521707350846766
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999668503674454,0.025746509691183573,0.02574935502626048
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9985457684904534,0.05391055768408662,0.05393670570538992
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998859675969799,-0.01510138413029232,-0.015101958172183261
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9980571449709639,0.062305179338535896,0.062345560699335105
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9991200130126668,-0.0419428134198097,-0.041955120795391314
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999999976998533,-0.00021448294413106995,-0.0002144829457755441
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999499814662534,0.010001728132499508,0.010001894893094677
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999453697722996,-0.01045262985754013,-0.010452820204882687
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999648894505685,-0.008379729477272073,-0.008379827550951454
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9989041180877356,0.046803449310487175,0.04682055382637755
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999693887148943,0.007824425420273928,0.007824505259823977
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997862461824053,-0.02067515282878444,-0.02067662608569977
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999494936241214,-0.01005038312022757,-0.01005055232645517
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999744181962168,0.00715282833133009,0.0071528893260378555
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996761660007709,-0.025447261738714044,-0.02545000899075821
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9977896605280446,-0.06645143597642236,-0.06650043938212714
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999298804934005,0.011842047814817246,0.011842324608764046
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9992953580150594,-0.03753381741246733,-0.03754263586592639
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999999275249993,0.0003807229912264856,0.0003807230004241189
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996798168790398,0.025303433061330753,0.02530613398463947
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999039167067563,-0.013862083338621586,-0.013862527327225059
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999647418755832,-0.008397321340544174,-0.008397420033202933
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998780416009733,0.015617359706498867,0.015617994626868135
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9994744259759432,-0.03241715317634018,-0.03242283357509392
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999680862793632,0.007989144058707981,0.007989229047563438
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999295730858294,-0.011867976592125533,-0.011868255208297323
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9988417174700721,-0.048116768817496276,-0.04813535503325625
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999921479803822,-0.003962824444802491,-0.003962834816893497
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999206882024493,0.012594336216735993,0.012594669187114178
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999297277364507,-0.01185493943075043,-0.011855217129698942
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.998323751851338,0.05787647613208671,0.05790883627590129
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9981142485968384,0.06138360325011237,0.061422217116797136
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999247261499133,0.012269557205538226,0.012269865073744592
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997450752532103,0.022578407980873728,0.022580326774846875
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998949515668738,0.014494337897247403,0.014494845454403134
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9981149166428823,0.061372739673006015,0.061411333018623025
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.992506640722454,0.12219070390921333,0.1224968279466001
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999190804421979,0.012721342996206865,0.012721686142463766
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9995265480176827,-0.030768162243674957,-0.030773018912582738
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9986781180218058,0.051400550429183026,0.05142321089851601
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999866128947785,0.016362279271829663,0.016363009456110956
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9993488689507146,0.03608099398477922,0.036088827176815164
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999825080693416,0.005914689793050921,0.0059147242797401274
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999970085068598,0.0024460125368835585,0.002446014975963053
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9992860131569881,0.03778179335093846,0.03779078782088346
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9966724060909095,0.08151144052803837,0.0816019733664547
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999499247364104,0.010007398245638979,0.0100075652900199
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999640543257631,0.008478800409331877,0.008478902002858432
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9984105984698979,-0.05635846753574874,-0.056388345276547694
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9985059741166948,0.05464265415651836,0.054669882942631864
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9995030455487652,-0.031522403758925455,-0.031527626530085846
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997354699509863,-0.02299978525729817,-0.023001813516687813
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998199734625076,0.018974210535071343,0.018975349237545198
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999813069072679,0.006114395802604084,0.006114433901878211
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999953540208554,-0.0030482678200242186,-0.003048272540762566
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9993326675912827,-0.03652696928147797,-0.03653509666111614
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999024825335235,-0.01396515031406593,-0.013965604280466382
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.99834346644383,-0.0575354065677543,-0.057567197411006986
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996985843156719,-0.02455077426962976,-0.02455324122987364
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999433993611029,0.010639458358487213,0.010639659096412181
